Epoch,Train Loss,Test Loss,Training Time (s),MAE Component 1,MAE Component 2,MAE Component 3,MAE Component 4,MAE Component 5,MAE Component 6
1,0.09434412800242846,0.018339060901276846,10.056207418441772,0.0011771333,0.0011600646,0.001076604,0.0010131964,0.020411583,145.17342
2,0.0018950064628661433,0.015021130856191197,8.618099212646484,0.0010368638,0.000965132,0.0010811017,0.0013206705,0.015855,120.62218
3,0.0015261438878781065,0.014631573297147265,8.640536785125732,0.000892972,0.0008175753,0.0010356795,0.0013012781,0.015452164,118.508896
4,0.0013824149959353038,0.014162949640007872,8.604317426681519,0.00081711425,0.0007400629,0.0009920647,0.0013488114,0.014755245,117.863144
5,0.0012492078931522982,0.014400074045795536,8.696537017822266,0.000701103,0.00070448144,0.0009633419,0.0013236107,0.0156023,116.7283
6,0.0011301386755273575,0.01339543077490303,8.620722770690918,0.0006835934,0.00071348785,0.00093514164,0.0013816777,0.013571477,116.54695
7,0.0010091108779889174,0.013195551758430568,8.579718351364136,0.00062437076,0.0006708533,0.0009619564,0.0013503676,0.013412853,114.99078
8,0.0008838016590965739,0.01197541874692614,8.75879955291748,0.00061429956,0.0006551219,0.0010556544,0.00144809,0.011280626,114.01625
9,0.0007189063566707204,0.010562565454915395,8.61964225769043,0.0006030347,0.000642611,0.0011418477,0.0014088139,0.010433895,111.31401
10,0.0005515517656623185,0.008592429086119227,8.675983905792236,0.00058599835,0.0006375711,0.0011712451,0.0014750042,0.011102773,108.87544
11,0.0003964880738711909,0.007182917633978775,8.67383885383606,0.00058513414,0.0007189924,0.0010959562,0.0015032315,0.011375144,107.035034
12,0.00028536548693180357,0.006038894534541808,9.25879716873169,0.0005592074,0.0006139052,0.0010813453,0.0015145341,0.012323489,105.94653
13,0.00022528869734787674,0.005616064238350867,9.414825201034546,0.0005626135,0.0006104345,0.0011274866,0.0015840114,0.012935794,105.07904
14,0.00019295383931429585,0.005213797205100234,8.932551860809326,0.00056019006,0.00063760567,0.0011339274,0.0015123592,0.01287416,106.16658
15,0.00015925561278082857,0.004842194242208455,8.81716275215149,0.0005781521,0.00062005554,0.001116401,0.0015771018,0.013029784,105.23776
16,0.00013099144739981742,0.004487182211737581,9.088404178619385,0.000557368,0.00056196336,0.0010523361,0.0014601258,0.013897238,105.60965
17,0.0001224730632786793,0.004217419772647165,8.824649572372437,0.00060266553,0.000636102,0.0011047045,0.0014754909,0.014656894,105.55675
18,0.00010910281967170541,0.004311459961533763,8.878068447113037,0.000580391,0.00057184394,0.0010356156,0.0014642219,0.013802879,105.20093
19,9.673967039631436e-05,0.00396990730483673,8.805598735809326,0.00060676516,0.0006164618,0.0010068287,0.0014204213,0.014855328,105.8071
20,9.311226111161357e-05,0.00380017617955476,8.807695627212524,0.0005857717,0.00068529457,0.0010744054,0.0014211073,0.015610097,106.038315
21,7.926270862940911e-05,0.004084088912622619,8.761915445327759,0.0005831694,0.0006099106,0.0010179435,0.001463594,0.014185002,106.60884
22,7.03416815738978e-05,0.003925181540705937,8.819937229156494,0.00064499327,0.0007121986,0.0010500756,0.0015541826,0.014735534,106.24962
23,7.584781959456697e-05,0.004044845535290003,8.82626485824585,0.000632159,0.00054801063,0.0010447387,0.0014743413,0.014362749,106.5806
24,6.691399941351454e-05,0.003974094410948946,8.741605281829834,0.0005637905,0.0005453694,0.0010087873,0.0015041952,0.014792008,107.68114
25,6.387128340358846e-05,0.004183155279408792,8.83913803100586,0.000603632,0.0005783496,0.0010795892,0.0014244609,0.013761928,107.177246
26,5.4692280354253285e-05,0.003969770602875292,8.80306100845337,0.00058695866,0.00052994775,0.0010045982,0.0014433953,0.014644533,107.84047
27,4.969121420955343e-05,0.0038242993001196247,9.13251543045044,0.00059475517,0.0006163165,0.0009778477,0.001401388,0.014918644,107.656586
28,4.972202577540696e-05,0.0037871939923097885,9.753729820251465,0.0006145155,0.00055656687,0.0010424746,0.0014223447,0.015251132,107.93851
29,6.445024160757616e-05,0.0037187567199100167,9.308481454849243,0.00064257794,0.00054612063,0.0010495661,0.0014194457,0.0157771,108.05469
30,6.275448173918477e-05,0.004431332297236976,9.252158641815186,0.0005556653,0.000596644,0.0009772064,0.0013703635,0.012644837,108.80571
